Model,EOD,DI,TPR_female,TPR_male,FNR_female,FNR_male,pos_rate_female,pos_rate_male,EO_TPR_diff,EO_FPR_diff,PP_diff,FNR_parity_diff
Baseline,-0.0226,1.018,0.693,0.6704,0.307,0.3296,0.455,0.4469,-0.0226,0.0007,-0.0022,-0.0226
Tuned,-0.0213,1.0193,0.6979,0.6766,0.3021,0.3234,0.4601,0.4514,-0.0213,-0.0019,0.0003,-0.0213
Monotone,-0.0302,1.0269,0.6973,0.667,0.3027,0.333,0.4601,0.448,-0.0302,0.0003,-0.004,-0.0302
Weighted,-0.0002,0.9538,0.7131,0.7129,0.2869,0.2871,0.4769,0.5,-0.0002,0.0406,-0.0255,-0.0002
Constrained,-0.0266,1.0172,0.664,0.6374,0.336,0.3626,0.4298,0.4226,-0.0266,0.0064,-0.0088,-0.0266
FE,-0.016,0.9953,0.7832,0.7672,0.2168,0.2328,0.5566,0.5593,-0.016,0.0158,-0.009,-0.016
